DEBUG 2019-08-12 17:46:56,449 17738ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: lunes, 12 de agosto de 2019, Usuario: 
DEBUG 2019-08-12 17:49:41,518 182808ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: lunes, 12 de agosto de 2019, Usuario: 
DEBUG 2019-08-12 17:58:22,521 703810ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: lunes, 12 de agosto de 2019, Usuario: 
DEBUG 2019-08-12 17:59:53,734 795024ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: lunes, 12 de agosto de 2019, Usuario: 
DEBUG 2019-08-12 17:59:58,392 799681ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: lunes, 12 de agosto de 2019, Usuario: 
DEBUG 2019-08-12 18:03:18,228 999518ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: lunes, 12 de agosto de 2019, Usuario: 
DEBUG 2019-08-12 18:03:38,082 1019371ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: lunes, 12 de agosto de 2019, Usuario: 
DEBUG 2019-08-12 18:12:58,451  9729ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: lunes, 12 de agosto de 2019, Usuario: 
DEBUG 2019-08-12 18:13:58,122  9828ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: lunes, 12 de agosto de 2019, Usuario: 
DEBUG 2019-08-13 11:21:03,568  6798ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: 
DEBUG 2019-08-13 11:21:12,621 15851ms LoggingFilterAttribute OnActionExecuting  - Controller: Account, Action Login, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: 
DEBUG 2019-08-13 11:21:23,515 26745ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:21:25,129 28359ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:21:28,168 31397ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:22:22,181 85411ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:22:24,488 87718ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaClientes, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:22:26,768 89997ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:22:28,287 91516ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:32:15,119 678349ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:32:17,109 680339ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaClientes, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:32:18,111 681341ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:32:19,629 682858ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:33:50,592 773821ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:34:25,980 809210ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:34:28,347 811577ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:34:29,828 813057ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
